Community_ID,Num_Nodes,Density_Real,Clustering_Real,Clustering_Null_Mean,Clustering_Null_Std,Clustering_PValue,Conductance_Real,Conductance_Null_Mean,Conductance_Null_Std,Conductance_PValue
0,482,0.010395010395010396,0.014727051496224174,0.011459147159893032,0.011319218730393758,0.32867132867132864,0.5455402602300584,0.8139141111131346,0.007087353739190967,0.000999000999000999
1,333,0.013169796302326424,0.0822729699148094,0.05284170181176792,0.036539611636238443,0.23576423576423577,0.5565031982942431,0.8271658111483027,0.006591112987578541,0.000999000999000999
2,137,0.02125375697724345,0.2062719121049321,0.00991103418185493,0.012472791077833797,0.000999000999000999,0.6658227848101266,0.9320579388958576,0.007166198312187453,0.000999000999000999
3,232,0.014778325123152709,0.19614733695644185,0.001346129408901537,0.0030403165725402513,0.000999000999000999,0.621595795508839,0.9167136174229095,0.008262719147486153,0.000999000999000999
4,327,0.009305641545186769,0.2285090591635757,0.011550953867458509,0.01270802916208778,0.000999000999000999,0.6521739130434783,0.8899378982580243,0.008299615194079022,0.000999000999000999
5,407,0.011207804311252588,0.07936009422515523,0.010931682964825312,0.007422233228275171,0.000999000999000999,0.5993943326844041,0.8507119010764498,0.007628898123034616,0.000999000999000999
6,245,0.010270993643358983,0.04930276021022934,0.007585310024003879,0.007338453147129539,0.000999000999000999,0.6788702928870293,0.8985146162573622,0.007787005799383093,0.000999000999000999
7,123,0.02385712381713981,0.16818116400864258,0.0,0.0,0.000999000999000999,0.6889661164205039,0.9901946169870702,0.005322673354834767,0.000999000999000999
8,16,0.14166666666666666,0.0,0.0,0.0,1.0,0.6,0.9940861631466403,0.009054907743372774,0.000999000999000999
9,130,0.020512820512820513,0.04175645304245901,0.0006923440991490151,0.0031227901212062016,0.000999000999000999,0.7135720233139051,0.9481509690924577,0.008708891215693524,0.000999000999000999
10,87,0.026998128842555466,0.0,6.053639846743295e-05,0.0011332861844142751,1.0,0.7306666666666667,0.9836116164142209,0.007789425428901763,0.000999000999000999
